                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.85435,                 2.9841,                0.28697,                0.76075,                 1.1571,                0.53823,                0.42857,                0.42773,                0.26886,                0.53728,                0.21429,                 0.2094,                0.06781,                 1.9339,                 8.0966,                 0.7136,                 2.4402,                 1.7697,             0.00035537,             0.00035537,             0.00035537
                     80,                0.83246,                 2.6648,                0.28952,                 0.7255,                 1.1012,                0.53823,                0.42857,                0.42773,                0.26886,                0.53728,                0.21429,                 0.2094,                0.06781,                 1.9339,                 8.0966,                 0.7136,                 2.4402,                 1.7697,             0.00034428,             0.00034428,             0.00034428
                     81,                0.72429,                 1.9377,                0.24715,                0.58419,                0.95856,                 0.5759,                0.42857,                0.43239,                0.26035,                0.45321,                0.28571,                0.23293,                0.08744,                 1.8808,                 8.0207,                0.67988,                 2.3684,                 1.7493,              0.0003328,              0.0003328,              0.0003328
                     82,                0.88281,                 2.5917,                0.29904,                0.67662,                 1.1558,                 0.5759,                0.42857,                0.43239,                0.26035,                0.45321,                0.28571,                0.23293,                0.08744,                 1.8808,                 8.0207,                0.67988,                 2.3684,                 1.7493,             0.00032092,             0.00032092,             0.00032092
                     83,                0.68532,                 2.2212,                0.30796,                 0.6479,                0.94741,                 0.5759,                0.42857,                0.43239,                0.26035,                0.45321,                0.28571,                0.23293,                0.08744,                 1.8808,                 8.0207,                0.67988,                 2.3684,                 1.7493,             0.00030865,             0.00030865,             0.00030865
                     84,                0.79271,                 2.7665,                0.30924,                 0.6028,                0.99244,                0.59107,                0.42857,                0.43873,                0.25973,                0.39146,                0.28571,                0.22798,                0.08812,                 1.8146,                  8.002,                0.65395,                 2.3249,                 1.7183,             0.00029598,             0.00029598,             0.00029598
                     85,                0.69853,                 2.1186,                0.26259,                0.63774,                 1.0068,                0.59107,                0.42857,                0.43873,                0.25973,                0.39146,                0.28571,                0.22798,                0.08812,                 1.8146,                  8.002,                0.65395,                 2.3249,                 1.7183,             0.00028291,             0.00028291,             0.00028291
                     86,                0.87433,                 2.2699,                0.30234,                0.77262,                 1.0306,                0.59107,                0.42857,                0.43873,                0.25973,                0.39146,                0.28571,                0.22798,                0.08812,                 1.8146,                  8.002,                0.65395,                 2.3249,                 1.7183,             0.00026945,             0.00026945,             0.00026945
                     87,                0.70504,                  2.009,                0.26596,                0.57412,                0.97958,                0.59107,                0.42857,                0.43873,                0.25973,                0.39146,                0.28571,                0.22798,                0.08812,                 1.8146,                  8.002,                0.65395,                 2.3249,                 1.7183,             0.00025559,             0.00025559,             0.00025559
                     88,                0.44366,                 1.6571,                0.28491,                0.44085,                0.97008,                0.53856,                0.42857,                0.44069,                0.26835,                0.88377,                0.14286,                0.17374,                 0.0841,                 1.7054,                 8.0247,                0.60915,                 2.2527,                 1.6692,             0.00024134,             0.00024134,             0.00024134
                     89,                 1.1877,                 5.3318,                0.29015,                0.95328,                 1.2917,                0.53856,                0.42857,                0.44069,                0.26835,                0.88377,                0.14286,                0.17374,                 0.0841,                 1.7054,                 8.0247,                0.60915,                 2.2527,                 1.6692,             0.00022669,             0.00022669,             0.00022669
                     90,                0.78955,                 3.7432,                0.30853,                0.85238,                 1.0039,                0.53856,                0.42857,                0.44069,                0.26835,                0.88377,                0.14286,                0.17374,                 0.0841,                 1.7054,                 8.0247,                0.60915,                 2.2527,                 1.6692,             0.00021164,             0.00021164,             0.00021164
                     91,                0.50638,                 1.3901,                0.23704,                0.48096,                 0.8935,                0.53856,                0.42857,                0.44069,                0.26835,                0.88377,                0.14286,                0.17374,                 0.0841,                 1.7054,                 8.0247,                0.60915,                 2.2527,                 1.6692,              0.0001962,              0.0001962,              0.0001962
                     92,                0.70024,                 1.9661,                0.30094,                0.87518,                0.90028,                0.63836,                0.42857,                0.46264,                0.28498,                0.31724,                0.21429,                0.17612,                0.08403,                 1.5929,                 8.0885,                0.59195,                 2.1971,                 1.6048,             0.00018036,             0.00018036,             0.00018036
                     93,                0.51787,                 1.0898,                0.24783,                 0.4608,                0.91129,                0.63836,                0.42857,                0.46264,                0.28498,                0.31724,                0.21429,                0.17612,                0.08403,                 1.5929,                 8.0885,                0.59195,                 2.1971,                 1.6048,             0.00016413,             0.00016413,             0.00016413
                     94,                0.47801,                  1.027,                 0.2271,                0.45837,                0.84206,                0.63836,                0.42857,                0.46264,                0.28498,                0.31724,                0.21429,                0.17612,                0.08403,                 1.5929,                 8.0885,                0.59195,                 2.1971,                 1.6048,              0.0001475,              0.0001475,              0.0001475
