eye_status,hand_status,timestamp
"[WARNING] doze counter 103, dozing for 5.66s",both hands are in the zone,2024-08-27 17:30:23.726321
"[WARNING] doze counter 104, dozing for 5.74s",both hands are in the zone,2024-08-27 17:30:23.806962
"[WARNING] doze counter 105, dozing for 5.82s",both hands are in the zone,2024-08-27 17:30:23.887121
"[WARNING] doze counter 106, dozing for 5.90s",both hands are in the zone,2024-08-27 17:30:23.965460
"[WARNING] doze counter 107, dozing for 5.98s",both hands are in the zone,2024-08-27 17:30:24.048371
"[WARNING] doze counter 108, dozing for 6.07s",both hands are in the zone,2024-08-27 17:30:24.139061
"[WARNING] doze counter 109, dozing for 6.15s",both hands are in the zone,2024-08-27 17:30:24.220912
"[WARNING] doze counter 110, dozing for 6.23s",both hands are in the zone,2024-08-27 17:30:24.304416
"[WARNING] doze counter 111, dozing for 6.32s",both hands are in the zone,2024-08-27 17:30:24.387756
"[WARNING] doze counter 112, dozing for 6.40s",both hands are in the zone,2024-08-27 17:30:24.472445
"[WARNING] doze counter 113, dozing for 6.49s",both hands are in the zone,2024-08-27 17:30:24.557205
"[WARNING] doze counter 114, dozing for 6.57s",both hands are in the zone,2024-08-27 17:30:24.639772
"[WARNING] doze counter 114, dozing for 6.64s",both hands are in the zone,2024-08-27 17:30:24.710764
"[WARNING] doze counter 113, dozing for 6.72s",both hands are in the zone,2024-08-27 17:30:24.790532
"[WARNING] doze counter 112, dozing for 6.80s",both hands are in the zone,2024-08-27 17:30:24.870132
"[WARNING] doze counter 111, dozing for 6.88s",both hands are in the zone,2024-08-27 17:30:24.952339
"[WARNING] doze counter 110, dozing for 6.97s",both hands are in the zone,2024-08-27 17:30:25.038665
"[WARNING] doze counter 109, dozing for 7.05s",both hands are in the zone,2024-08-27 17:30:25.121661
"[WARNING] doze counter 108, dozing for 7.13s",both hands are in the zone,2024-08-27 17:30:25.200111
"[WARNING] doze counter 107, dozing for 7.21s",both hands are in the zone,2024-08-27 17:30:25.277709
"[WARNING] doze counter 106, dozing for 7.29s",both hands are in the zone,2024-08-27 17:30:25.358401
"[WARNING] doze counter 105, dozing for 7.37s",both hands are in the zone,2024-08-27 17:30:25.441076
